PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,Criminal Case,Education,,
['Darbhanga', '14', 'GEN', 'Bihar [2000 Onwards]', 'Kirti Azad', 'Bharatiya Janta Party', '1495446', '828342', '55.4 %', '35043', '4.2%', '4', 'Graduate',,
['Darjeeling', '4', 'GEN', 'West Bengal', 'S.S.Ahluwalia', 'Bharatiya Janta Party', '1437126', '1142009', '79.5 %', '197239', '17.3%', '0', 'Graduate Professional',,
['Dausa', '11', 'ST', 'Rajasthan', 'Harish Chandra Meena', 'Bharatiya Janta Party', '1524095', '930492', '61.1 %', '45404', '4.9%', '0', 'Graduate',,
['Davanagere', '13', 'GEN', 'Karnataka', 'G M Siddeshwara', 'Bharatiya Janta Party', '1522712', '1114868', '73.2 %', '17607', '1.6%', '0', '10th Pass',455']],
['Deoria', '66', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Kalraj Mishra', 'Bharatiya Janta Party', '1806926', '971557', '53.8 %', '265386', '27.3%', '0', 'Post Graduate',,
['Dewas', '21', 'SC', 'Madhya Pradesh [2000 Onwards]', 'Manohar Untwal', 'Bharatiya Janta Party', '1617215', '1143968', '70.7 %', '260313', '22.8%', '0', '12th Pass',,
['Dhanbad', '7', 'GEN', 'Jharkhand', 'Pashupati Nath Singh', 'Bharatiya Janta Party', '1889994', '1143902', '60.5 %', '292954', '25.6%', '1', 'Graduate',,
['Dhar', '25', 'ST', 'Madhya Pradesh [2000 Onwards]', 'Savitri Thakur', 'Bharatiya Janta Party', '1668441', '1076816', '64.5 %', '104328', '9.7%', '0', '10th Pass',,
['Dharmapuri', '10', 'GEN', 'Tamil Nadu', 'Anbumani Ramadoss', 'Pattali Makkal Katchi', '1358273', '1101345', '81.1 %', '77146', '7.0%', '8', 'Graduate Professional',065']],
['Dharwad', '11', 'GEN', 'Karnataka', 'Pralhad Joshi', 'Bharatiya Janta Party', '1579024', '1041226', '65.9 %', '113657', '10.9%', '1', 'Graduate',,
['Dhaurahra', '29', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Rekha', 'Bharatiya Janta Party', '1558039', '1060271', '68.1 %', '125675', '11.9%', '0', '12th Pass',,
