pc_name,pc_no,pc_type,st_name,year,cand_name,cand_sex,partyname,partyabbre,totvotpoll,electors
Alipurduars,27,SC,Uttar Pradesh,2014,Digai Ram,M,Muslim League Kerala State Committee,MUL,238,1230232
Alipurduars,27,SC,Uttar Pradesh,2014,Hausila,M,Independent,IND,717,1230232
Alipurduars,27,SC,Uttar Pradesh,2014,Ramnol Alias Ramnetra,M,Independent,IND,812,1230232
Alipurduars,27,SC,Uttar Pradesh,2014,Rajendra Prasad,M,Independent,IND,978,1230232
Alipurduars,27,SC,Uttar Pradesh,2014,Ram Raj Baudh,M,Independent,IND,1417,1230232
Alipurduars,27,SC,Uttar Pradesh,2014,Ram Tirath,M,Ajeya Bharat Party,AJBP,1539,1230232
Alipurduars,27,SC,Uttar Pradesh,2014,Baijnath,M,Independent,IND,1574,1230232
Alipurduars,27,SC,Uttar Pradesh,2014,Ram Samujh,M,Independent,IND,1857,1230232
Alipurduars,27,SC,Uttar Pradesh,2014,Chhote Lal,M,National Loktantrik Party,NLP,2582,1230232
Alipurduars,27,SC,Uttar Pradesh,2014,Bhagwandin,M,Communist Party Of India (Marxist),CPM,5271,1230232
Alipurduars,27,SC,Uttar Pradesh,2014,Mata Prasad,M,Indian National Congress,INC,19522,1230232
Alipurduars,27,SC,Uttar Pradesh,2014,Babu Lal,M,Apna Dal,AD,53472,1230232
Alipurduars,27,SC,Uttar Pradesh,2014,Bechan Ram Sonkar,M,Bharatiya Janata Party,BJP,182753,1230232
Alipurduars,27,SC,Uttar Pradesh,2014,Ram Piyare Suman,M,Samajwadi Party,SP,206376,1230232
Alipurduars,27,SC,Uttar Pradesh,2014,Mayawati,F,Bahujan Samaj Party,BSP,259762,1230232
Alipurduars,28,GEN,Uttar Pradesh,2014,Ram Nath,M,Independent,IND,461,1228752
Alipurduars,28,GEN,Uttar Pradesh,2014,Suresh Kumar,M,Independent,IND,464,1228752
Alipurduars,28,GEN,Uttar Pradesh,2014,Chandra Kanti Rajvanshi,F,Independent,IND,830,1228752
Alipurduars,28,GEN,Uttar Pradesh,2014,Ram Chandar,M,Independent,IND,860,1228752
Alipurduars,28,GEN,Uttar Pradesh,2014,Vinay Prakash,M,Ajeya Bharat Party,AJBP,932,1228752
Alipurduars,28,GEN,Uttar Pradesh,2014,Raj Kishor Dwivedi,M,Sanatan Samaj Party,SSJP,1333,1228752
Alipurduars,28,GEN,Uttar Pradesh,2014,Sahuri,M,Independent,IND,1346,1228752
Alipurduars,28,GEN,Uttar Pradesh,2014,Sudha Singh,F,Independent,IND,2050,1228752
Alipurduars,28,GEN,Uttar Pradesh,2014,Manoj Kumar,M,Independent,IND,2434,1228752
Alipurduars,28,GEN,Uttar Pradesh,2014,Satya Narayan,M,Bharatiya Lok Kalyan Dal,BLKD,2896,1228752
Alipurduars,28,GEN,Uttar Pradesh,2014,Shakeel Ahmad,M,National Loktantrik Party,NLP,3537,1228752
Alipurduars,28,GEN,Uttar Pradesh,2014,Angad Kumar Pandey,M,Independent,IND,3696,1228752
