Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
2319,Goutam Shriram Wasnik,RAMTEK,IND,0,8th Pass,"Rs 7,64,000",Rs 0
2320,Govind,BIDAR,SP,0,10th Pass,"Rs 4,37,03,163","Rs 27,40,661"
2321,Govind Das,MAHARAJGANJ,IND,0,5th Pass,"Rs 52,30,430",Rs 0
2322,Govind Gaude,SOUTH GOA,IND,4,Others,"Rs 54,78,000","Rs 6,50,000"
2323,Govind Kumar Bairwa,BHILWARA,BSP,0,8th Pass,"Rs 24,70,000",Rs 0
2324,Govind Prasad,KAISERGANJ,Samyak Parivartan Party,0,Graduate Professional,"Rs 17,37,312",Rs 0
2325,Govind Prasad,TONK SAWAI MADHOPUR,IND,0,8th Pass,"Rs 2,65,000",Rs 0
2326,Govind Singh Rajput,SAGAR,INC,1,Post Graduate,"Rs 3,07,58,478","Rs 24,58,028"
2327,Govinda Narayan Gunjal,RAVER,IND,0,Graduate Professional,"Rs 4,84,400",Rs 0
2328,"Govindan, C.",VELLORE,IND,0,Illiterate,"Rs 2,50,000",Rs 0
2329,Govindaraju K,SALEM,IND,0,8th Pass,"Rs 17,45,550","Rs 78,214"
2330,Govindarju.g,TUMKUR,IND,0,10th Pass,"Rs 32,85,000","Rs 50,000"
2331,Govindhareddy Pacharalli,KOPPAL,IND,0,Graduate,"Rs 1,20,000","Rs 30,000"
2332,Govindji Okhaji Thakor,PATAN,JD(U),1,5th Pass,"Rs 18,91,361",Rs 0
2333,Gowda.nsm,KRISHNAGIRI,JD(S),0,Graduate,"Rs 6,82,247",Rs 0
2334,Gowrimani.s,KARUR,IND,0,5th Pass,"Rs 87,50,000","Rs 5,00,000"
2335,Granthi Narendrasingh Anmolsingh,NANDED,AAP,0,Graduate,"Rs 1,43,85,756","Rs 36,503"
2336,Grisa Kumar,GAUTAM BUDHHA NAGAR,IND,0,8th Pass,"Rs 8,28,000",Rs 0
2337,Guahati Motilal,BHONGIR,All India Majlis-E-Ittehadul Muslimeen,2,Literate,"Rs 74,93,876",Rs 0
2338,Guduru Janardhan Reddy,BHONGIR,Jai Samaikyandhra Party,0,10th Pass,"Rs 22,23,000","Rs 15,50,000"
2339,Gufran Ahamad,MUZAFFARNAGAR,IND,0,12th Pass,"Rs 20,54,600","Rs 1,25,000"
2340,Gugulothu Ranjith Kumar,KHAMMAM,IND,0,Literate,"Rs 2,70,000",Rs 0
2341,Gugulothu Sarvan,KHAMMAM,IND,0,Literate,"Rs 2,70,000",Rs 0
2342,Gugulotu Jagan,MAHABUBABAD,Marxist Communist Party of India (United),0,8th Pass,"Rs 6,85,000","Rs 4,00,000"
2343,Gujjala Nagaraju,ANANTAPUR,IND,0,10th Pass,"Rs 5,28,46,700",Rs 0
2344,Gulab Chand Dubey,JAUNPUR,SHS,0,12th Pass,"Rs 5,71,68,060","Rs 50,00,000"
2345,Gulab Chand Sahlot,CHITTORGARH,IND,0,10th Pass,"Rs 10,87,100",Rs 0
2346,Gulab Khan,DAMOH,IND,0,Post Graduate,"Rs 4,32,000",Rs 0
2347,Gulab Singh,SONIPAT,POORVANCHAL RASHTRIYA CONGRESS,0,Graduate,"Rs 5,39,52,000",Rs 0
2348,Gulam Farid,RAJSAMAND,SP,0,8th Pass,"Rs 8,58,960","Rs 1,48,000"
2349,Gulam Nabi,SIKAR,BSP,0,12th Pass,"Rs 67,11,505","Rs 2,93,515"
2350,Gulavas,CHANDAULI,IND,0,Literate,"Rs 95,000",Rs 0
2351,Guljar Kumar,MADHEPURA,BSP,0,Graduate,Rs 35,Rs 0
2352,Gulkirat Kaur Panag,CHANDIGARH,AAP,0,Post Graduate,"Rs 12,95,08,000","Rs 21,64,000"
2353,Gullihatty. D. Shekhar,CHITRADURGA,JD(S),1,Graduate,"Rs 79,03,095","Rs 6,82,408"
2354,Gulmir Khan,PARBHANI,BSP,2,8th Pass,"Rs 2,70,000",Rs 0
2355,Gumjum Haider,ARUNACHAL WEST,AITC,0,Graduate,"Rs 88,08,016",Rs 0
2356,Gummidi Sandhya Rani,ARAKU,TDP,0,Graduate,"Rs 25,87,354",Rs 0
2357,Gun Devi ( Gyani Devi),ROBERTSGANJ,Qaumi Ekta Dal,0,Illiterate,"Rs 10,54,898",Rs 0
2358,Gunasekaran P,SIVAGANGA,IND,0,10th Pass,Nil,Rs 0
2359,Gunasekaran T.k,ERODE,United Communist Party of India,0,10th Pass,"Rs 2,11,95,000","Rs 52,00,000"
2360,"Gunasekaran, K.",NILGIRIS,RPI(A),0,12th Pass,"Rs 87,000",Rs 0
2361,Gunasekaran.k.,TENKASI,Tamil Nadu Makkal Congress,0,10th Pass,"Rs 1,23,000",Rs 0
2362,Gunasekaran.n,MAYILADUTHURAI,IND,0,Graduate,"Rs 55,500",Rs 0
2363,Gunasekaran.s,NAMAKKAL,IND,4,8th Pass,"Rs 4,80,184","Rs 81,600"
2364,Gunasekaran.t,THANJAVUR,IND,0,Graduate,"Rs 5,050",Rs 0
2365,Gundapaneni Raja Kumari,VIJAYAWADA,Pyramid Party of India,0,Post Graduate,"Rs 6,10,000",Rs 0
2366,Gundesh Khambra,BHOPAL,IND,0,10th Pass,"Rs 1,79,000",Rs 0
2367,Gunin Basumatari,JORHAT,SP,0,Graduate Professional,"Rs 1,03,22,068","Rs 2,17,200"
2368,Gunnam Nagi Reddy,NALGONDA,Yuvajana Sramika Rythu Congress Party,0,Graduate,"Rs 88,61,773",Rs 0
2369,Gunwant Sudamrao Devpare,AMRAVATI,BSP,0,Others,"Rs 20,93,90,631","Rs 2,34,88,366"
2370,Gupta Kanhaiyalal Rajaram,MUMBAI NORTH CENTRAL,IND,0,5th Pass,"Rs 1,69,96,369",Rs 0
2371,Gupteshwar,GHAZIPUR,Lok Dal,0,10th Pass,"Rs 1,45,25,880",Rs 0
2372,Gurbhej Singh,PATIALA,IND,0,10th Pass,"Rs 7,500",Rs 0
2373,Gurcharan Singh,BATHINDA,IND,0,10th Pass,"Rs 1,40,000",Rs 0
2374,Gurcharan Singh,FARIDKOT,RPI,0,10th Pass,"Rs 8,05,000",Rs 0
2375,Gurdeep Singh,FATEHGARH SAHIB,Inqalab Vikas Dal,0,10th Pass,"Rs 3,35,519",Rs 0
2376,Gurdeep Singh,BATHINDA,Indian Krantikari Lehar,0,Illiterate,"Rs 5,70,000",Rs 0
2377,Gurdeep Singh,SANGRUR,Democratic Bharatiya Samaj Party,0,10th Pass,"Rs 8,12,000",Rs 0
2378,Gurdeep Singh Kahlon,LUDHIANA,IND,2,Graduate Professional,"Rs 99,75,000","Rs 70,000"
2379,Gurdial Singh Gill,AMRITSAR,Democratic Bharatiya Samaj Party,0,10th Pass,"Rs 2,00,000",Rs 0
2380,Gurjant Singh,FIROZPUR,IND,0,Literate,"Rs 6,18,766",Rs 0
2381,Gurjeet Singh,GIRIDIH,AAP,0,Post Graduate,"Rs 31,82,920","Rs 2,37,000"
2382,Gurmeet Singh,ANANDPUR SAHIB,IND,0,8th Pass,"Rs 40,97,703","Rs 3,00,000"
2383,Gurmeet Singh,KURUKSHETRA,Lok Dal,0,Graduate,"Rs 31,25,677","Rs 69,000"
2384,Gurmeet Singh Bakhatpura,GURDASPUR,CPI(ML)L,0,12th Pass,"Rs 37,00,000","Rs 2,00,000"
2385,Gurmeet Singh Ranghreta,BATHINDA,Punjab Labour Party,1,12th Pass,"Rs 35,74,000","Rs 1,00,000"
2386,Gurnam Singh,KHADOOR SAHIB,IND,1,10th Pass,"Rs 4,74,040",Rs 0
2387,Gurnam Singh,ANANDPUR SAHIB,IND,0,Post Graduate,"Rs 9,81,975","Rs 1,00,000"
2388,Gurnam Singh,AMBALA,IND,0,Not Given,"Rs 50,000",Rs 0
2389,Gurnam Singh Koli,SHIMLA,BSP,0,12th Pass,"Rs 55,30,658","Rs 2,60,000"
2390,Gurnule Ramesh Vithoba,YAVATMAL WASHIM,IND,0,8th Pass,"Rs 85,000",Rs 530
2391,Gurpal Singh,KHADOOR SAHIB,All India Mazdoor Party (Rangreta),0,5th Pass,"Rs 20,27,000",Rs 0
2392,Gurpreet Singh,SANGRUR,CPI(ML)L,0,5th Pass,"Rs 15,350",Rs 0
2393,Gurpreet Singh,PATIALA,Bahujan Samaj Party (Ambedkar),0,5th Pass,"Rs 10,70,000",Rs 0
2394,Gurpreet Singh Khanna,GURDASPUR,Bharatiya Gaon Taj Dal,0,Graduate,"Rs 16,54,228",Rs 0
2395,Gursagar Singh,JAMMU,Socialistic Democratic Party,0,12th Pass,"Rs 1,95,40,000","Rs 33,50,000"
2396,Gursharn Singh Panesar,ANANDPUR SAHIB,IND,0,Post Graduate,"Rs 46,30,000",Rs 0
2397,Guru Prasad Pradhan,DHENKANAL,IND,0,Graduate Professional,"Rs 11,57,381",Rs 0
2398,Gurudas Uddhav Bawane,RAMTEK,IND,0,12th Pass,"Rs 37,42,000","Rs 8,20,000"
2399,Gurudeva S H,UDUPI CHIKMAGALUR,AAP,0,Graduate Professional,"Rs 69,71,500","Rs 2,50,000"
2400,Gurujada Beeraiah,MEDAK,IND,1,12th Pass,"Rs 62,00,000",Rs 0
2401,Gurushantappa Chalwadi,DHARWAD,RPI(A),0,10th Pass,"Rs 3,20,255",Rs 0
2402,Guruswamy B,CHAMARAJANAGAR,SP,0,Graduate Professional,"Rs 1,10,61,200","Rs 9,95,250"
2403,Gutha Sukhender Reddy,NALGONDA,INC,1,12th Pass,"Rs 8,59,07,866","Rs 1,01,03,677"
2404,Guttula Annapurna Seshagiri Rao,KAKINADA,IND,0,5th Pass,Nil,Rs 0
2405,Gutturu Chinna Venkataramudu,HINDUPUR,INC,1,10th Pass,"Rs 33,20,000","Rs 2,00,000"
2406,Gyan Chand,BARGARH,BSP,0,5th Pass,"Rs 78,54,072",Rs 0
2407,Gyanendra,PHULPUR,NCP,0,12th Pass,"Rs 19,07,000",Rs 0
2408,H D Kumara Swamy,CHIKKBALLAPUR,JD(S),1,Graduate,"Rs 1,49,78,30,567","Rs 72,96,03,654"
2409,H N Ramakrishna Reddy,CHIKKBALLAPUR,Pyramid Party of India,0,10th Pass,"Rs 26,26,000","Rs 6,74,000"
2410,H Raja,SIVAGANGA,BJP,0,Graduate Professional,"Rs 93,13,714","Rs 20,94,707"
2411,H. Siddagangappa,CHITRADURGA,Ambedkar National Congress,0,12th Pass,"Rs 2,09,000","Rs 11,50,000"
2412,H. Suresh Poojari,SHIMOGA,IND,0,5th Pass,"Rs 26,000",Rs 0
2413,H.a. Rahman,MAHBUBNAGAR,Yuvajana Sramika Rythu Congress Party,3,Graduate,"Rs 45,000",Rs 0
2414,H.b.p. Ajay Sahebrao Baraskar Maharaj,AHMEDNAGAR,Bahujan Mukti Party,2,12th Pass,"Rs 1,11,85,018","Rs 4,42,109"
2415,H.d. Devegowda,HASSAN,JD(S),0,Others,"Rs 4,27,21,242","Rs 86,48,283"
2416,H.d. Revanna,HASSAN,Karunaadu Party,0,10th Pass,"Rs 4,83,000","Rs 50,000"
2417,H.k. Kenchveerappa,DAVANAGERE,Vichara Jagruthi Congress Paksha,1,10th Pass,"Rs 43,59,500","Rs 50,000"
2418,H.k. Mahendru,NORTH EAST DELHI,IND,0,8th Pass,"Rs 41,985",Rs 0
2419,H.k. Ramachandrappa,DAVANAGERE,CPI,0,10th Pass,"Rs 31,80,981",Rs 0
2420,H.k.krishna,MANDYA,Karunaadu Party,0,Graduate,"Rs 3,90,000",Rs 0
2421,H.l. Manjunatha,BANGALORE CENTRAL,Kannada Chalavali Vatal Paksha,0,12th Pass,"Rs 6,000",Rs 0
2422,H.l.mohan Kumar,TUMKUR,Hindustan Janta Party,0,8th Pass,"Rs 9,78,000","Rs 4,00,000"
2423,H.n.narayanaswamy,KOLAR,IND,0,10th Pass,"Rs 3,35,000","Rs 1,00,000"
2424,H.senthilkumar,ARANI,IND,0,10th Pass,"Rs 52,87,542",Rs 0
2425,H.v.anjappa,KOLAR,IND,0,Post Graduate,"Rs 51,41,000",Rs 0
2426,Habibur Rahaman Molla,DIAMOND HARBOUR,Rashtriya Janasachetan Party (R.J.P.),0,10th Pass,"Rs 3,33,000",Rs 0
2427,Habung Payeng,ARUNACHAL WEST,AAP,0,Post Graduate,"Rs 1,45,87,055",Rs 0
2428,Hadapad Basavaraj,UTTARA KANNADA,Rani Chennamma Party,1,12th Pass,"Rs 4,10,000",Rs 0
2429,Hafiz Mustaq,SOUTH DELHI,Jan Samanta Party,0,Illiterate,"Rs 4,30,000",Rs 0
2430,Haidar,JHANJHARPUR,VANCHITSAMAJ INSAAF PARTY,3,Others,"Rs 6,40,000",Rs 0
2431,Haji Akhtar Paperwala,MUMBAI NORTH,IND,0,10th Pass,"Rs 54,01,000","Rs 7,50,000"
2432,Haji Jainul Abedin,CHATRA,BSP,0,Graduate,"Rs 1,57,58,303",Rs 0
2433,Haji Mohd Yaqoob,MORADABAD,BSP,2,8th Pass,"Rs 6,84,84,555","Rs 5,75,735"
2434,Haji Moideen Shah,THRISSUR,JD(U),0,Others,"Rs 21,00,000",Rs 0
2435,Hakim Singh,BHIND,IND,0,10th Pass,"Rs 7,41,417",Rs 0
2436,Hakim Singh,MAINPURI,IND,0,12th Pass,"Rs 1,83,26,297",Rs 0
2437,Halappa Doddaneelappa Timmenahalli,HAVERI,BSP,0,Graduate,"Rs 10,80,000","Rs 2,00,000"
2438,Hameed Mohammad Gulamhussain Sayyed,KALYAN,SP,0,8th Pass,"Rs 7,61,38,101","Rs 1,52,07,081"
