Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
2258,Girjashankar,MIRZAPUR,IND,0,5th Pass,"Rs 12,70,000",Rs 0
2259,Girraj Yadav,GUNA,IND,6,10th Pass,"Rs 5,65,000",Rs 0
2260,Gita Chetan Paunda,BHAVNAGAR,BSP,0,Graduate Professional,"Rs 4,68,200","Rs 1,13,000"
2261,Gita Mandal,GODDA,CPI(ML)L,3,Graduate,"Rs 18,87,379",Rs 0
2262,Gitadas Das W/o Hariharadas Das,NARSAPURAM,Prem Janata Dal,0,8th Pass,"Rs 1,47,000",Rs 0
2263,Gnanapandithan.p,NAMAKKAL,RPI(A),0,Illiterate,"Rs 1,46,000",Rs 0
2264,Gobarddhan Manna,HOWRAH,Indian Unity Centre,0,8th Pass,"Rs 4,57,000",Rs 0
2265,Gobardhan Ghosh,GHATAL,Rashtriya Janadhikar Suraksha Party,0,8th Pass,"Rs 7,55,731",Rs 0
2266,Gobardhan Prasad,KUSHI NAGAR,Socialist Party (India),2,Graduate,"Rs 5,05,500",Rs 0
2267,Gobind Singh,FARIDKOT,RPI(A),0,8th Pass,"Rs 1,00,000",Rs 0
2268,Godam Nagesh,ADILABAD,TRS,0,Post Graduate,"Rs 1,03,78,857","Rs 1,48,784"
2269,Godse Hement Tukaram,NASHIK,SHS,1,Others,"Rs 8,36,28,253","Rs 2,35,59,648"
2270,Gogulamudi Narasimha Rao,BAPATLA,IND,0,10th Pass,"Rs 12,62,200","Rs 7,33,400"
2271,Gohel Bharatbhai Bhimabhai,BHAVNAGAR,IND,0,8th Pass,Nil,Rs 0
2272,Gohil Pravinsinh Dhirubha,BHAVNAGAR,IND,0,10th Pass,"Rs 18,51,000","Rs 1,68,890"
2273,Gohil Virsangbhai Parbatbhai,BHARUCH,IND,0,10th Pass,"Rs 62,86,233",Rs 0
2274,Gokaraju Ganga Raju,NARSAPURAM,BJP,1,Graduate,"Rs 2,88,35,67,122","Rs 16,85,01,286"
2275,Gokila .k,RAMANATHAPURAM,IND,0,Post Graduate,"Rs 1,34,022","Rs 2,40,000"
2276,Gokinepalli Venkateswara Rao,KHAMMAM,IND,2,5th Pass,"Rs 3,70,000",Rs 0
2277,Gokul Prasad Dongre,DEWAS,BSP,1,Graduate,"Rs 1,86,75,000","Rs 3,29,980"
2278,Golla Babu Rao,BAPATLA,IND,0,Post Graduate,"Rs 1,55,000",Rs 0
2279,Gollapalli Kishore Kumar Reddy,ONGOLE,Jai Samaikyandhra Party,0,Post Graduate,"Rs 3,35,000",Rs 0
2280,Gomasta Prasad Soren,JHARGRAM,Akhil Bhartiya Jharkhand Party,0,10th Pass,"Rs 9,87,537",Rs 0
2281,Gondane Divakar Laxman,MUMBAI NORTH,Bharipa Bahujan Mahasangha,1,Graduate,"Rs 41,03,000",Rs 0
2282,Gopal .r,RAMANATHAPURAM,IND,0,Graduate,"Rs 5,70,000",Rs 0
2283,Gopal Balmiki,BIKANER,IND,0,10th Pass,"Rs 1,000",Rs 0
2284,Gopal Chinayya Shetty,MUMBAI NORTH,BJP,10,5th Pass,"Rs 9,56,17,889",Rs 0
2285,Gopal Das,BASIRHAT,BSP,0,8th Pass,"Rs 67,500",Rs 0
2286,Gopal Kanaujiya,MOHANLALGANJ,RPI(A),0,12th Pass,"Rs 12,39,961",Rs 0
2287,Gopal Mondal,GHATAL,IND,0,Graduate,"Rs 76,000",Rs 0
2288,Gopal Murmu,GHATAL,Jharkhand Anushilan Party,0,10th Pass,"Rs 18,95,049","Rs 13,579"
2289,Gopal Paharia,BHARATPUR,AAP,1,Graduate,"Rs 10,88,94,131",Rs 0
2290,Gopal Prasad,MAHARAJGANJ,IND,0,Graduate Professional,"Rs 25,18,000",Rs 0
2291,Gopal Prasad Sinha,PATNA SAHIB,JD(U),0,Post Graduate,"Rs 5,91,31,851",Rs 0
2292,Gopal Pujari,NABARANGPUR,Aama Odisha Party,1,10th Pass,"Rs 1,00,000",Rs 0
2293,Gopal Singh,ARRAH,IND,0,10th Pass,"Rs 24,10,664",Rs 0
2294,Gopal Singh Shekhawat,RAJSAMAND,INC,0,Graduate Professional,"Rs 41,57,012","Rs 7,96,727"
2295,Gopal Swaroop,AMETHI,Kisan Majdoor Berojgar Sangh,0,Post Graduate,"Rs 5,11,829",Rs 0
2296,Gopal. Dr. K,NAGAPATTINAM,AIADMK,0,Graduate Professional,"Rs 1,90,74,709","Rs 1,36,29,120"
2297,"Gopalakrishnan, C.",NILGIRIS,AIADMK,0,Post Graduate,"Rs 1,09,41,189","Rs 12,24,754"
2298,Goparam Meghwal,JODHPUR,BSP,0,5th Pass,"Rs 86,26,500",Rs 0
2299,Gopi Baruah,GAUHATI,Lok Bharati,0,8th Pass,"Rs 6,70,004",Rs 0
2300,Gopi Chand Shahabadi,TEZPUR,AITC,0,Graduate,"Rs 2,06,24,119","Rs 34,37,403"
2301,Gopi Nath Das,GAUHATI,AIUDF,0,Graduate,"Rs 1,13,82,580",Rs 0
2302,Gopi P,ERODE,INC,0,Literate,"Rs 1,94,06,959","Rs 8,95,121"
2303,Gopi Raman,AKBARPUR,JD(U),1,10th Pass,"Rs 18,99,211","Rs 20,295"
2304,Gopinath Jani,NABARANGPUR,BSP,0,8th Pass,"Rs 4,26,659","Rs 37,200"
2305,Gopinath Sakharam Mhaske,THANE,Bharipa Bahujan Mahasangha,0,Illiterate,"Rs 20,45,000",Rs 0
2306,"Gopinathan, G.",ARAKKONAM,IND,0,Graduate,"Rs 2,56,86,000","Rs 30,20,900"
