Sno,Candidate?,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
4581,P Ramachandran Nair,Kozhikode,IND,0,10th Pass,"Rs 59,11,000",Rs 0
4582,P Ramakrishna,Malkajgiri,RKSP,0,Not Given,Nil,"Rs 21,00,000"
4583,P Satheedevi Pallikkal,Vadakara,IND,0,10th Pass,"Rs 4,28,216",Rs 0
4584,P Satyanarayana,Mahabubabad,IND,0,12th Pass,"Rs 6,22,000",Rs 0
4585,P V Chakravarthi,Amalapuram,RPI(KH),0,Graduate Professional,"Rs 2,00,000",Rs 0
4586,P Venkateswara Rao,Vijayawada,IND,0,8th Pass,"Rs 5,000",Rs 0
4587,P. B. M. BASAIAWMOIT,Shillong,HSPDP,1,Graduate,"Rs 2,62,44,200",Rs 0
4588,P. BALRAM,Mahabubabad,INC,0,Graduate,"Rs 1,71,95,194","Rs 1,41,22,000"
4589,P. DINESH NAGAR,Mandsour,IND,0,Not Given,"Rs 8,38,100",Rs 0
4590,P. K. CHAVAN,Pune,IND,0,12th Pass,"Rs 16,83,176",Rs 0
4591,P. KARUNA,Nalgonda,PRAP,2,Graduate,"Rs 1,18,91,555","Rs 42,71,877"
4592,P. Laxman Rao Goud,Hyderabad,INC,0,12th Pass,"Rs 1,85,30,669","Rs 20,00,000"
4593,P. Niroop Reddy,Medak,BJP,0,Post Graduate,"Rs 2,27,46,000","Rs 14,90,000"
4594,P. PRASAD,Hindupur,IND,0,Graduate Professional,"Rs 2,80,000",Rs 0
4595,P. SANYASI RAJU,Vizianagaram,BJP,0,Graduate Professional,"Rs 6,39,89,000","Rs 68,63,993"
4596,P. Vinay Kumar,Nizamabad,PRAP,0,Post Graduate,"Rs 18,32,08,378","Rs 68,550"
4597,P.B.YOGENDRA,Chamarajanagar,IND,0,Graduate,"Rs 9,000",Rs 0
4598,P.C.Mohan,Bangalore Central,BJP,1,12th Pass,"Rs 5,37,29,000","Rs 3,28,87,000"
4599,P.CHANDRAPPA,Kolar,IND,0,Graduate,"Rs 3,65,000",Rs 0
4600,P.Damodar Reddy,Secunderabad,PPOI,0,10th Pass,"Rs 1,05,95,000",Rs 0
4601,P.JOHN BASCO,Bangalore South,Akhila India Jananayaka Makkal Katchi (Dr. Is,0,10th Pass,"Rs 40,000",Rs 0
4602,P.K. Raman,Kasaragod,IND,0,10th Pass,"Rs 2,000",Rs 0
4603,P.Karunakaran,Kasaragod,CPM,12,Post Graduate,"Rs 1,78,23,645",Rs 0
4604,P.Kodandaramaiah,Tumkur,INC,1,Post Graduate,"Rs 6,34,20,000","Rs 49,470"
4605,P.L.PUNIA,Barabanki,INC,0,Doctorate,"Rs 1,40,47,833","Rs 9,95,370"
4606,P.Lalaiah,Warangal,BSP,0,Post Graduate,"Rs 23,52,327",Rs 0
4607,P.MAHESH CHANDRA SHASHTRI,Guna,IND,0,12th Pass,"Rs 6,91,000","Rs 4,00,549"
4608,P.N.SRINATH-PATHRIKE,Mysore,IND,0,Graduate,"Rs 2,80,000",Rs 0
4609,P.PARSHIVAMURTHY,Mysore,RKSP,0,Post Graduate,"Rs 30,000",Rs 0
4610,P.Parthiban,Bangalore Central,IND,0,12th Pass,"Rs 6,000","Rs 80,000"
4611,P.V.CHANGALARAYAPPA,Kolar,IND,0,5th Pass,"Rs 1,640",Rs 0
4612,P.Venkateswara Rao,Hyderabad,PPOI,0,Post Graduate,"Rs 19,78,000","Rs 6,00,000"
4613,Paban Kumar Lakra,Alipurduars,AITC,0,12th Pass,"Rs 1,12,491","Rs 1,04,949"
4614,Pabitra Gamango,Berhampur,BSP,0,Graduate,"Rs 4,500",Rs 0
4615,Pabitra Moitra,Jalpaiguri,Amra Bangalee,0,Graduate,"Rs 6,22,800","Rs 15,250"
4616,PACHPUTE RAMPRASAD KISHANRAO,Hingoli,IND,0,12th Pass,"Rs 70,29,042","Rs 65,068"
4617,PADAM BDR. CHETTRI,Sikkim,BJP,0,Post Graduate,"Rs 1,77,04,000","Rs 15,20,000"
4618,PADAM CHANDRA GUPTA,Lucknow,IND,0,Post Graduate,"Rs 45,000","Rs 1,08,720"
4619,PADAM SINGH,Bharatpur,SP,0,Doctorate,"Rs 56,47,615","Rs 8,02,200"
4620,PADAM SINGH DHAKAD,Gwalior,IND,0,Post Graduate,"Rs 20,51,000",Rs 0
4621,Padiga Yerraiah,Mahabubabad,IND,0,Not Given,Nil,Rs 0
4622,Padma Baraik,Lohardaga,IND,1,8th Pass,"Rs 5,22,000",Rs 0
4623,Padmaa K Bhat,Bangalore North,BSP,2,Graduate,"Rs 4,56,93,782","Rs 1,87,15,693"
4624,PADMANABAN N,Virudhunagar,IND,0,Others,"Rs 30,000",Rs 0
4625,PADMANABHAN S,Sriperumbudur,IND,0,Not Given,"Rs 50,000",Rs 0
4626,PADVI BABITA KARMSINGH,Nandurbar,BSP,0,Post Graduate,Nil,"Rs 60,000"
4627,Pakala Devadanam,Warangal,IND,0,8th Pass,"Rs 11,787",Rs 0
4628,PAKAURI LAL,Robertsganj,SP,0,Literate,"Rs 17,62,515",Rs 0
4629,PAKKIRI AMBADKAR.K.V,Kancheepuram,JMM,0,10th Pass,"Rs 67,35,000",Rs 0
4630,PALAKDHARI,Ghosi,IND,0,Not Given,Nil,Rs 0
4631,PALANI R T,Vellore,IND,0,5th Pass,"Rs 15,000","Rs 50,000"
4632,PALANI S.P.,Chennai South,IND,0,8th Pass,"Rs 49,000","Rs 30,000"
4633,PALANI W B,Arakkonam,PNK,0,Graduate,"Rs 5,10,250","Rs 11,86,038"
4634,PALANI.P,Tiruchirappalli,IND,0,Illiterate,"Rs 2,15,000",Rs 0
4635,PALANIMANICKAM.S.S,Thanjavur,DMK,0,Graduate Professional,"Rs 75,23,592","Rs 28,41,136"
4636,PALANIMOSES. N,Chennai North,PKMK,0,Not Given,"Rs 42,40,000","Rs 3,79,000"
4637,PALANISAMY. M,Karur,IND,0,10th Pass,"Rs 1,75,006",Rs 0
4638,PALANISAMY.N.P.,Erode,BJP,0,Graduate Professional,"Rs 30,58,800","Rs 2,13,400"
4639,Palem Srikanth Reddy,Kadapa,TDP,0,Post Graduate,"Rs 28,37,09,255","Rs 4,50,00,000"
4640,Palem Sudharshan Goud,Mahbubnagar,BSP,0,Not Given,"Rs 1,20,000",Rs 0
4641,Palla Prabhakar Reddy,Bhongir,PPOI,0,Graduate,"Rs 66,00,000","Rs 50,000"
4642,PALLAVI MOHAN HARSHE,Shirur,PRCP,0,Others,Nil,Rs 0
4643,PANABAKA LAKSHMI,Bapatla,INC,0,Post Graduate,"Rs 1,66,35,386",Rs 0
4644,Panakanti Satish Kumar,Karimnagar,IND,0,Graduate Professional,"Rs 1,81,357","Rs 1,38,666"
4645,PANCHA DEVI,Pataliputra,JGP,0,Literate,"Rs 1,50,000","Rs 24,888"
4646,Panchanan Hansda,Jhargram,BSP,0,Graduate,"Rs 1,65,876","Rs 12,065"
4647,PANCHANATHAN R,Viluppuram,JMM,2,8th Pass,"Rs 72,000",Rs 0
4648,PANCHOO BELDAR,Sant Kabir Nagar,Ambedkar Samaj Party,0,Not Given,"Rs 9,75,000","Rs 4,000"
4649,PANDEY DINESHBHAI,Daman & Diu,IND,1,12th Pass,"Rs 22,95,000","Rs 8,54,990"
4650,PANDHARE DATTATRAYA PANDURANG,Sangli,IND,0,Post Graduate,"Rs 55,25,000",Rs 0
4651,PANDI,Theni,IND,0,Illiterate,"Rs 10,500",Rs 0
4652,PANDIAN E,Arakkonam,IND,0,8th Pass,"Rs 45,182",Rs 0
4653,PANDIAN K,Mayiladuthurai,DMDK,0,Graduate,"Rs 16,26,500","Rs 3,00,000"
4654,PANDIAN R,Coimbatore,DMDK,1,Post Graduate,"Rs 3,28,34,632","Rs 90,02,000"
4655,PANDIAN. A,Karur,IND,0,Graduate Professional,"Rs 7,00,000",Rs 0
4656,PANDIAN.P,Theni,IND,0,5th Pass,"Rs 2,066",Rs 0
4657,PANDIARAJAN K,Virudhunagar,DMDK,0,Graduate,"Rs 14,59,38,842",Rs 0
4658,PANDIT SHIVAPPA BODALI,Bagalkot,IND,0,10th Pass,Nil,Rs 0
4659,Pandu,Mahbubnagar,IND,0,Not Given,Nil,Rs 0
4660,PANDURANG JETHYA PARADHI,Palghar,IND,0,Literate,"Rs 1,30,000",Rs 0
4661,PANDURANG WAMANRAO NARWADE,Aurangabad,PRCP,0,Post Graduate,"Rs 2,69,200",Rs 0
4662,PANDURANGAN.V,Tiruvallur,IND,0,12th Pass,"Rs 1,12,000",Rs 0
4663,PANJATSARAM D,Arakkonam,IND,0,5th Pass,Nil,Rs 0
4664,PANKAJ CHAUDHARY,Maharajganj,BJP,0,12th Pass,"Rs 4,37,54,559","Rs 16,59,000"
4665,PANKAJ GOSWAMI,Gwalior,BHBP,0,Literate,"Rs 85,000",Rs 0
4666,PANKAJ KATNA,Hamirpur,SHS,0,12th Pass,"Rs 35,048","Rs 3,01,329"
4667,PANKAJ KUMAR SHARMA,Patna Sahib,IND,0,Graduate,"Rs 33,54,611","Rs 20,00,000"
4668,PANKAJ RAWAT,Jhansi,IND,0,Not Given,"Rs 4,96,330",Rs 0
4669,PANKAJBHAI SOMCHAND SHAH,Mumbai North East,IND,0,10th Pass,"Rs 67,58,650","Rs 2,46,861"
4670,PANKAJKUMAR PRABHUBHAI PATEL,Valsad,Aadivasi Sena Party,1,Post Graduate,"Rs 13,64,375",Rs 0
4671,PANNEERSELVAM.S,Namakkal,IND,0,10th Pass,"Rs 5,90,000",Rs 0
4672,PANSARE AZAM FAKEERBHAI,Maval,NCP,0,12th Pass,"Rs 21,61,48,183","Rs 18,88,34,789"
4673,Papanna Mutika,Koraput,BSP,0,Graduate Professional,"Rs 1,22,70,000","Rs 8,00,000"
4674,PAPPU RAJAK,Jamui,IND,0,8th Pass,"Rs 3,15,000",Rs 0
4675,PAPPU SAGAR,North West Delhi,IJP,0,8th Pass,"Rs 11,39,600",Rs 0
4676,PAPU SINGH,Firozpur,RVNP,0,5th Pass,"Rs 2,70,000",Rs 0
4677,PARAG HANUMANT NEWALKAR,Thane,KKJHS,0,10th Pass,"Rs 1,81,000",Rs 0
4678,Parameswar Kand,Kalahandi,SP,0,Literate,"Rs 1,05,000",Rs 0
4679,Parameswar Sethi,Jajpur,BJP,1,Graduate Professional,"Rs 37,91,372","Rs 13,00,000"
4680,PARAMJEET SINGH,Firozpur,IND,0,8th Pass,"Rs 2,25,000",Rs 0
4681,PARAMJIT KAUR GULSHAN,Faridkot,SAD,0,Post Graduate,"Rs 1,42,08,609","Rs 21,85,837"
4682,PARANJAPE DIPSHREE DEEPAK,Thane,IND,0,5th Pass,"Rs 3,40,000",Rs 0
4683,PARAS NATH,Chandigarh,AD,0,Graduate,"Rs 40,000","Rs 10,000"
4684,PARAS NATH YADAVA,Jaunpur,SP,0,12th Pass,"Rs 1,38,74,968",Rs 0
4685,PARAS RAM,Bijnor,VAJP,0,8th Pass,"Rs 68,05,000","Rs 3,86,000"
4686,PARAS RAM POONCHI,Jammu,IND,0,12th Pass,"Rs 3,10,000",Rs 0
4687,PARASHMONI SINHA,Tezpur,JMM,1,Graduate,"Rs 7,30,000",Rs 0
4688,PARASHU RAM,Ambedkar Nagar,IND,0,12th Pass,"Rs 16,000",Rs 0
4689,PARASHU RAM NISHAD,Banda,AD,0,Graduate Professional,"Rs 33,50,000","Rs 2,50,000"
4690,PARASHURAM JALAGAR,Bagalkot,PPOI,0,10th Pass,"Rs 1,14,15,000","Rs 10,00,000"
4691,PARASNATH PANDEY,Purvi Champaran,IND,0,8th Pass,"Rs 26,00,000",Rs 0
4692,PARASURAM,Salempur,IND,0,Literate,"Rs 4,35,000","Rs 20,000"
4693,Parbhat Kumar Ranjan,Jahanabad,IND,0,Graduate Professional,"Rs 60,45,000",Rs 0
4694,PARDHAN,Kurukshetra,SP,0,Not Given,"Rs 50,000",Rs 0
4695,PARDHESHI HARTAPSAH TIRKAM,Chhindwara,GMS,0,12th Pass,"Rs 47,00,000",Rs 0
4696,PARESBHAI RASIKLAL THAKKAR,Ahmedabad East,IND,0,12th Pass,"Rs 77,000",Rs 0
4697,PARESH CHANDRA ROY,Kolkata Dakshin,BSP,0,Graduate,"Rs 31,94,711",Rs 500
4698,Paresh Marandi,Bankura,JMM,2,Not Given,"Rs 8,50,000",Rs 0
4699,Parichhit Singh,Jahanabad,IND,0,12th Pass,"Rs 1,000","Rs 49,000"
4700,PARIKSHIT MAHATO,Jamshedpur,LJP,0,8th Pass,"Rs 1,88,385","Rs 5,43,364"
4701,PARIMAL BISWAS,Arambag,BSP,0,12th Pass,"Rs 1,24,782","Rs 2,00,040"
4702,PARIMALAM.V,Chennai Central,IND,0,Graduate Professional,"Rs 34,000","Rs 2,575"
4703,PARKAR SHIRISH LAXMAN,Mumbai North,MNS,5,Post Graduate,"Rs 2,13,36,417",Rs 0
4704,PARMANAND METHARAM TOLANI,Indore,IND,0,10th Pass,"Rs 5,95,500",Rs 0
4705,PARMESHWAR DAYAL,Hamirpur,IND,0,10th Pass,"Rs 3,25,000","Rs 60,000"
4706,PARMESHWAR RAMCHANDRA,Bidar,IND,0,12th Pass,"Rs 5,30,00,000","Rs 10,00,000"
4707,Parmeshwar Yadav,Kodarma,RKSP,0,8th Pass,"Rs 21,13,000","Rs 17,14,197"
4708,Parsuram Majhi,Nabarangpur,BJP,0,Graduate,"Rs 25,06,600","Rs 25,000"
4709,PARTAP SINGH,Kangra,IND,0,8th Pass,"Rs 1,68,400","Rs 70,000"
4710,PARTAP SINGH BAJWA,Gurdaspur,INC,0,Graduate,"Rs 6,80,53,249","Rs 1,00,000"
4711,Partha Addhya,Medinipur,IND,0,Graduate,"Rs 3,87,328",Rs 0
4712,PARTHA KARMAKAR,Tripura West,CPI(ML)(L),0,12th Pass,Nil,Rs 0
4713,PARTHIBAN R,Cuddalore,IND,0,Others,"Rs 4,12,500",Rs 0
4714,Partibha Devi,Buxar,IND,0,Post Graduate,"Rs 2,95,000",Rs 0
4715,PARULEKAR JAYENDRA SHRIPAD,Ratnagiri Sindhudurg,BSP,0,Graduate Professional,"Rs 1,49,36,360","Rs 21,14,956"
4716,PARVATHI.A,Theni,BJP,0,10th Pass,"Rs 5,60,000",Rs 0
4717,PARVATI DEVI,Palamau,MMM,0,10th Pass,"Rs 4,15,000",Rs 0
4718,PARVEEN HITESHI,Bathinda,IND,0,Others,"Rs 95,000",Rs 0
4719,PARVEEN SULTANA,Mangaldoi,All India Minorities Front,0,10th Pass,"Rs 17,35,000","Rs 2,27,400"
4720,PARVESH,Hisar,IND,0,5th Pass,"Rs 36,40,000",Rs 0
4721,PARWAT LAL,Tikamgarh,IND,0,12th Pass,"Rs 8,17,600","Rs 1,55,000"
4722,PARWAT SINGH,Jhansi,IND,0,Not Given,"Rs 13,40,000",Rs 0
4723,PASHAMIYA ESMAIL SAB,Bidar,IND,0,Not Given,"Rs 2,000",Rs 0
4724,PASHUPATI KOL,Dumka,CPI,0,12th Pass,"Rs 7,79,960","Rs 2,00,000"
4725,PASHUPATI NATH SINGH,Dhanbad,BJP,2,Graduate,"Rs 39,43,516",Rs 0
4726,PASSAMIGHU ANNAN VENKATESNOR TA V,Arakkonam,Anaithindia Dravidar Samudaya Munnetra Kazhag,0,Post Graduate,"Rs 23,00,000","Rs 7,190"
4727,PATANJALI JAITALI,Ambedkar Nagar,IND,0,12th Pass,"Rs 46,00,019",Rs 0
4728,PATEL HASHAM ISMAIL,Osmanabad,IND,0,Graduate Professional,"Rs 9,06,487",Rs 0
4729,PATEL M.JAVED M. YUSUF,Sangli,BSP,0,10th Pass,"Rs 2,70,000",Rs 0
4730,PATEL NATUBHAI GOMANBHAI,Dadra & Nagar Haveli,BJP,3,5th Pass,"Rs 8,34,94,860","Rs 34,26,035"
4731,Pathala Satya Rao,Anakapalle,IND,0,Literate,"Rs 1,50,000",Rs 0
4732,PATHAN A. RAZZAK KHAN HAYAT KHAN,Chandrapur,SP,0,10th Pass,"Rs 5,83,695","Rs 70,000"
4733,PATHAN GAFARKHAN JABBARKHAN,Beed,IND,0,8th Pass,Nil,"Rs 2,00,000"
4734,PATHAN JAVEED KAMIL KHAN,Thane,NBNP,0,12th Pass,"Rs 1,05,000","Rs 1,75,000"
4735,PATHAN MUSHTAK LATIF,Bhandara-Gondiya,DESEP,0,Not Given,"Rs 80,000",Rs 0
4736,PATHAN SATTAR KASIMKHAN,Hingoli,IND,1,12th Pass,"Rs 20,000","Rs 60,000"
4737,PATHAN ZAFAR ALI KHAN MAHEMUD ALI KHAN,Nanded,IND,0,12th Pass,"Rs 7,00,000",Rs 0
4738,PATHINATHAN.P,Tiruchirappalli,CDF,0,10th Pass,"Rs 40,66,000",Rs 0
4739,PATIL JAGANNATH SHIVRAM,Bhiwandi,BJP,10,10th Pass,"Rs 3,03,25,979",Rs 0
4740,PATIL MAHADEO DNYANDEO,Osmanabad,IND,0,Doctorate,"Rs 6,80,000","Rs 2,62,000"
4741,PATIL PADAMSINHA BAJIRAO,Osmanabad,NCP,7,Graduate Professional,"Rs 7,58,52,364",Rs 0
4742,PATIL SURESH CHINDHU,Raver,BSP,5,10th Pass,"Rs 3,06,20,000","Rs 33,99,686"
4743,PATIL UDAY PANDHARINATH,Hatkanangle,KM,0,10th Pass,"Rs 5,86,956","Rs 95,000"
4744,PATLE AKARSING SITARAM,Bhandara-Gondiya,IND,0,Post Graduate,"Rs 12,40,000","Rs 2,00,000"
4745,PATLE SHISHUPAL NATTHUJI,Bhandara-Gondiya,BJP,0,Graduate,"Rs 15,56,400","Rs 1,00,000"
4746,PATRAM,Moradabad,IND,0,Literate,"Rs 11,82,000",Rs 0
4747,Pattathil Raghavan,Kannur,IND,0,Literate,"Rs 1,500",Rs 0
4748,PAUL NAYAK,Kaliabor,IND,0,Not Given,"Rs 10,41,114",Rs 0
4749,Paula Baliarsing,Kandhamal,BSP,0,5th Pass,"Rs 22,75,000",Rs 0
4750,Pauldexion Khariya,Alipurduars,IND,1,Graduate,Nil,Rs 0
4751,PAULPANDY M,Madurai,IND,0,8th Pass,"Rs 3,80,000","Rs 20,000"
4752,PAULRAJ,Kanniyakumari,IND,1,Graduate Professional,Nil,"Rs 2,182"
4753,PAWAN DUGAL,Bikaner,CPM,13,Graduate,"Rs 4,535",Rs 0
4754,PAWAN KUMAR,Sirsa,IND,0,10th Pass,"Rs 23,500",Rs 0
4755,Pawan Kumar,Korba,IND,0,Not Given,Nil,Rs 0
4756,PAWAN KUMAR,Maharajganj,RPI(A),0,8th Pass,"Rs 2,57,11,000","Rs 37,67,909"
4757,PAWAN KUMAR,East Delhi,RPI(A),0,10th Pass,"Rs 13,50,000",Rs 0
4758,"PAWAN KUMAR ""SUMAN""",Khagaria,Akhil Bharatiya Desh Bhakt Morcha,2,Graduate,"Rs 3,17,000",Rs 0
4759,PAWAN KUMAR BANSAL,Chandigarh,INC,0,Graduate Professional,"Rs 3,87,29,400",Rs 0
4760,PAWAR HARIDAS MANIKRAO,Osmanabad,IND,1,12th Pass,"Rs 8,90,000",Rs 0
4761,PAWAR RAMESH GORSING,Yavatmal-Washim,IND,0,Graduate,"Rs 1,70,000",Rs 0
4762,PAWAR SAMPAT WAMAN,Dindori,BBM,0,Graduate,"Rs 15,000",Rs 0
4763,PAWAR SHARADCHANDRA GOVINDRAO,Madha,NCP,0,10th Pass,"Rs 8,72,38,434",Rs 0
4764,PAWAR SUBHASH PANDURANG,Mumbai North West,PRCP,0,5th Pass,"Rs 33,75,000","Rs 8,00,000"
4765,Peddi Ravinder,Karimnagar,IND,0,Post Graduate,"Rs 95,000",Rs 0
4766,PEER MOHD HUSSAIN,Anantnag,JKPDP,0,Graduate,"Rs 19,00,000","Rs 3,50,000"
4767,PEJUSH KUMAR SAHANA,Bardhaman Purba,CPI(ML)(L),1,10th Pass,"Rs 1,70,000",Rs 0
4768,PENDAM DIWAKAR GULAB,Gadchiroli-Chimur,BBM,0,8th Pass,"Rs 20,25,000",Rs 0
4769,PENDAM PURUSHOTTAM ZITUJI,Gadchiroli-Chimur,DESEP,0,10th Pass,"Rs 50,000",Rs 0
4770,PERIYASAMY T,Salem,IND,0,Not Given,"Rs 78,000",Rs 0
4771,Peruku Anjaiah,Bhongir,IND,0,12th Pass,"Rs 5,70,000",Rs 0
4772,PERUMAL D,Vellore,IND,0,10th Pass,Nil,Rs 0
4773,PERUMAL.S,Erode,IND,0,5th Pass,"Rs 57,550",Rs 0
4774,PERUMALSAMY.S,Theni,IND,0,Graduate,"Rs 3,52,05,000",Rs 669
4775,PHATIK CHANDRA HEMBRAM,Dumka,AJSU Party,0,Doctorate,"Rs 34,09,654",Rs 0
4776,PHEIROIJAM IBOMCHA SINGH,Nowgong,AIFB,0,Graduate Professional,"Rs 59,30,529",Rs 0
4777,PHOOLCHAND,Jhunjhunu,CPI(ML)(L),1,12th Pass,"Rs 18,11,000","Rs 3,25,000"
4778,PHOOLDEO,Sant Kabir Nagar,IND,0,12th Pass,"Rs 5,51,200",Rs 0
4779,PHOOLO DEVI,Katihar,IND,0,Literate,"Rs 7,01,600",Rs 0
4780,PHUL CHAND MANDAL,Dhanbad,JVM(P),3,12th Pass,"Rs 14,07,804","Rs 3,25,000"
4781,Phulan Pandit,Buxar,IND,0,8th Pass,"Rs 47,00,000",Rs 0
4782,PHUNTSOG NAMGYAL,Ladakh,INC,0,Post Graduate,"Rs 2,24,61,787","Rs 2,66,000"
4783,PICHHIKE NARENDRA DEV,Nandyal,RKSP,0,10th Pass,"Rs 28,000",Rs 0
4784,PIDATHALA SAI KALPANA,Ongole,PRAP,0,12th Pass,"Rs 1,04,72,574",Rs 0
4785,PIJUSH BANERJEE,Kolkata Dakshin,IND,0,Graduate,"Rs 2,00,371",Rs 0
4786,Pijush Kanti Das,Silchar,IND,0,8th Pass,"Rs 1,37,197",Rs 0
4787,PILLELLI SUNIL,Eluru,BSP,0,Not Given,Nil,Rs 0
4788,Pinaki Misra,Puri,BJD,0,Graduate,"Rs 29,69,00,000",Rs 0
4789,PINGAL PRASAD,Domariyaganj,RPI,0,12th Pass,"Rs 10,000",Rs 0
4790,PINTU SANPUI,Jadavpur,BSP(K),0,Graduate,"Rs 2,500",Rs 0
4791,PITAM SINGH,Mathura,IND,0,Graduate,"Rs 94,68,000",Rs 0
4792,PITRAM UIKEY,Chhindwara,IND,0,Literate,"Rs 5,50,000","Rs 2,35,000"
4793,Podem Sammaiah,Mahabubabad,PPOI,0,Post Graduate,"Rs 10,000",Rs 0
4794,POKRA RAM,Jalore,IND,0,5th Pass,"Rs 16,40,000",Rs 0
4795,Polishetty Ram Mohan,Secunderabad,Samata Party,0,Graduate Professional,"Rs 1,60,000",Rs 0
4796,POLLY MUKHERJEE,Howrah,BJP,0,12th Pass,"Rs 96,41,482",Rs 0
4797,POMMURAJ.M,Theni,IND,1,5th Pass,"Rs 1,14,000",Rs 0
4798,Ponnam Prabhakar,Karimnagar,INC,0,Graduate Professional,"Rs 12,87,000",Rs 0
4799,"PONNAMMAL, S.",Perambalur,IND,2,Graduate,"Rs 28,000",Rs 0
4800,"PONNUSWAMY,E",Chidambaram,PMK,0,Post Graduate,"Rs 8,75,000",Rs 0
4801,PONRAJ T,Thoothukkudi,IND,0,Not Given,Nil,Rs 0
4802,POONAM,Gautam Budhha Nagar,BSP(K),0,Graduate,"Rs 55,540",Rs 0
4803,POONAM KUMARI SRIVASTAVA,West Delhi,JBP,0,Graduate Professional,"Rs 25,65,025",Rs 0
4804,POONAMBEN VELJIBHAI JAT,Kachchh,BJP,1,12th Pass,"Rs 5,24,126",Rs 0
4805,POORANLAL LODHI,Balaghat,IND,0,10th Pass,"Rs 75,000",Rs 0
4806,Poosa Bala Kishan,Bhongir,IND,0,12th Pass,"Rs 42,000",Rs 0
4807,Popat Ram,Barmer,IND,0,5th Pass,"Rs 1,85,000",Rs 0
4808,Pothula Prameela Devi,Amalapuram,PRAP,0,Graduate,"Rs 5,50,000",Rs 0
4809,Powar Singh Hatti Singh,Zahirabad,IND,0,10th Pass,"Rs 3,50,000",Rs 0
4810,POYYATHU S,Viluppuram,BSP,0,Graduate,"Rs 5,50,000",Rs 0
4811,PRABAHARAN. P,Karur,LJP,0,Post Graduate,"Rs 1,00,000",Rs 0
4812,PRABHA VERMA,Jalaun,AD,0,Doctorate,"Rs 11,80,000",Rs 0
4813,PRABHABEN KISHORESINH TAVIAD,Dahod,INC,0,Graduate Professional,"Rs 68,23,687",Rs 0
4814,PRABHAKAR TEWARI,Barrackpur,BJP,2,Graduate,"Rs 2,25,000",Rs 0
4815,PRABHAKARAN P,Thoothukkudi,IND,0,Not Given,"Rs 3,20,000",Rs 0
4816,PRABHAKARBHAI SOMABHAI NAGMAL,Surat,IND,0,Literate,"Rs 8,78,000",Rs 0
4817,PRABHAT KUMAR,Bijnor,IND,0,12th Pass,"Rs 4,05,000",Rs 0
4818,PRABHAT KUMAR,Aligarh,IND,0,10th Pass,"Rs 3,02,264",Rs 0
4819,Prabhat Kumar Badapanda,Puri,IND,0,12th Pass,"Rs 25,000",Rs 0
4820,PRABHATSINH PRATAPSINH CHAUHAN,Panchmahal,BJP,3,10th Pass,"Rs 72,55,000",Rs 0
4821,PRABHU K PATIL,Haveri,JD(U),0,10th Pass,"Rs 52,17,000",Rs 0
4822,PRABHU LAL BATRA,Gurgaon,RASAP,0,Graduate Professional,"Rs 1,35,56,309",Rs 0
4823,Prabhu Nath Mali,Siwan,IND,0,Post Graduate,"Rs 4,59,000","Rs 35,090"
4824,PRABHU SINGH,Jalore,IND,0,12th Pass,"Rs 17,20,000",Rs 0
4825,PRABHU.R,Coimbatore,INC,0,Post Graduate,"Rs 22,16,97,347",Rs 0
4826,PRABHUDAYAL KATHERIA,Agra,INC,0,Literate,"Rs 4,04,93,500","Rs 3,82,895"
4827,PRABHULAL RAWAT,Banswara,JD(U),0,10th Pass,"Rs 67,14,000","Rs 1,40,000"
4828,PRABHUNATH,Ghazipur,BJP,1,10th Pass,"Rs 13,47,938","Rs 3,28,261"
4829,Prabhunath Singh,Maharajganj,JD(U),2,12th Pass,"Rs 44,47,753","Rs 3,90,606"
4830,PRABHUNATH YADAV,Pataliputra,IJP,0,Graduate,"Rs 51,00,000","Rs 28,000"
4831,Prabir Banerjee,Bankura,IND,0,Graduate,"Rs 60,615",Rs 0
4832,Prabodh Panda,Medinipur,CPI,0,Graduate,"Rs 22,30,746","Rs 3,62,156"
4833,PRABU.V,Chennai Central,IND,0,Post Graduate,"Rs 18,000",Rs 0
4834,PRABUDHASAN S.M,Mayiladuthurai,IND,0,Post Graduate,"Rs 9,55,000",Rs 0
4835,PRADEEP,Kannauj,IND,1,12th Pass,"Rs 16,60,026",Rs 0
4836,PRADEEP ANIRUDDH,Pondicherry,PPOI,0,Post Graduate,"Rs 7,88,000","Rs 1,40,000"
4837,PRADEEP CHANDEL,Hathras,INC,0,Not Given,"Rs 16,60,000",Rs 0
4838,PRADEEP CHOUBEY,Durg,INC,0,Graduate Professional,"Rs 1,78,92,559",Rs 0
4839,PRADEEP DUTTA,Kaliabor,IND,0,10th Pass,"Rs 4,72,786",Rs 0
4840,PRADEEP KUMAR,Hathras,Ambedkar Samaj Party,0,Literate,"Rs 6,22,500",Rs 0
4841,PRADEEP KUMAR,Ujiarpur,IND,0,12th Pass,"Rs 1,89,091",Rs 0
4842,PRADEEP KUMAR JAIN,Jhansi,INC,2,Post Graduate,"Rs 33,43,719",Rs 0
4843,Pradeep Kumar Majhi,Nabarangpur,INC,0,Graduate,"Rs 8,50,000","Rs 3,45,830"
4844,PRADEEP KUMAR SINGH,Araria,BJP,3,10th Pass,"Rs 2,57,014","Rs 7,64,726"
